,01CPTAC_GBM_Proteome_PNNL_20190123,02CPTAC_GBM_Proteome_PNNL_20190123,03CPTAC_GBM_Proteome_PNNL_20190123,04CPTAC_GBM_Proteome_PNNL_20190123,05CPTAC_GBM_Proteome_PNNL_20190306,06CPTAC_GBM_Proteome_PNNL_20190306,08CPTAC_GBM_Proteome_PNNL_20190306,09CPTAC_GBM_Proteome_PNNL_20190501,10CPTAC_GBM_Proteome_PNNL_20190501,11CPTAC_GBM_Proteome_PNNL_20190501
01CPTAC_GBM_Proteome_PNNL_20190123,1.0,0.6427065639540653,0.5151677090798737,0.5217459914750822,0.4067785176518936,0.42625564092565044,0.4677282535186715,0.5002222829651632,0.45985016164029013,0.4617595214379601
02CPTAC_GBM_Proteome_PNNL_20190123,0.6427065639540653,1.0,0.506075599458657,0.5117452521336407,0.4023526363622738,0.41949485962701705,0.45117294429815846,0.4965797155432726,0.4512264705762729,0.45376620215554614
03CPTAC_GBM_Proteome_PNNL_20190123,0.5151677090798737,0.506075599458657,1.0,0.5821455394690411,0.4287847504294171,0.43064310837888387,0.44770333464251244,0.4661097924774592,0.43408855000278423,0.43132861783660786
04CPTAC_GBM_Proteome_PNNL_20190123,0.5217459914750822,0.5117452521336407,0.5821455394690411,1.0,0.4252623642545284,0.42454841268490195,0.4470309740016114,0.4718015954138137,0.4470292211585655,0.4445141627201043
05CPTAC_GBM_Proteome_PNNL_20190306,0.4067785176518936,0.4023526363622738,0.4287847504294171,0.4252623642545284,1.0,0.5057034876481497,0.4888861823456595,0.4338429542296052,0.41266050639105983,0.40973951034431244
06CPTAC_GBM_Proteome_PNNL_20190306,0.42625564092565044,0.41949485962701705,0.43064310837888387,0.42454841268490195,0.5057034876481497,1.0,0.508711631656691,0.45946506071004845,0.42239860297531245,0.4176103029401871
08CPTAC_GBM_Proteome_PNNL_20190306,0.4677282535186715,0.45117294429815846,0.44770333464251244,0.4470309740016114,0.4888861823456595,0.508711631656691,1.0,0.4732108256820187,0.44985131071717427,0.4480244956840879
09CPTAC_GBM_Proteome_PNNL_20190501,0.5002222829651632,0.4965797155432726,0.4661097924774592,0.4718015954138137,0.4338429542296052,0.45946506071004845,0.4732108256820187,1.0,0.5091475745145378,0.5050265714855832
10CPTAC_GBM_Proteome_PNNL_20190501,0.45985016164029013,0.4512264705762729,0.43408855000278423,0.4470292211585655,0.41266050639105983,0.42239860297531245,0.44985131071717427,0.5091475745145378,1.0,0.6077097791762337
11CPTAC_GBM_Proteome_PNNL_20190501,0.4617595214379601,0.45376620215554614,0.43132861783660786,0.4445141627201043,0.40973951034431244,0.4176103029401871,0.4480244956840879,0.5050265714855832,0.6077097791762337,1.0
