,non_missing_count
01CPTAC_BCprospective_Proteome_BC_20160911,204017
02CPTAC_BCprospective_Proteome_BC_20160913,190105
03CPTAC_BCprospective_Proteome_BC_20160916,214018
04CPTAC_BCprospective_Proteome_BC_20160930,214035
05CPTAC_BCprospective_Proteome_BC_20161021,176173
06CPTAC_BCprospective_Proteome_BC_20161116,184537
07CPTAC_BCprospective_Proteome_BC_20161119,207746
08CPTAC_BCprospective_Proteome_BC_20170104,186945
09CPTAC_BCprospective_Proteome_BC_20170117,193621
10CPTAC_BCprospective_Proteome_BC_20170224,193976
11CPTAC_BCprospective_Proteome_BC_20170419,185895
12CPTAC_BCprospective_Proteome_BC_20170428,197189
13CPTAC_BCprospective_Proteome_BC_20170527,175350
14CPTAC_BCprospective_Proteome_BC_20170602,102387
15CPTAC_BCprospective_Proteome_BC_20170608,111126
16CPTAC_BCprospective_Proteome_BC_20170609,186097
17CPTAC_BCprospective_Proteome_BC_20170613,195354
